country,bag_num,bag_weight,harvest_year,grading_date,processing_method,aroma,flavor,aftertaste,acidity,body,balance,uniformity,clean_cup,sweetness,moisture,cat_1_defects,quakers,color,cat_2_defects,expiration,altitude,species,total_quality
Taiwan,1,2,2025,2025-09-26,Washed/Wet,8.0,8.08,8.0,8.08,8.0,8.08,10.0,10.0,10.0,0.085,0,0,Green,4,2026-09-26,1100.0,Arabica,8.04
Colombia,600,30,2025,2024-11-23,Washed/Wet,8.08,8.08,7.92,7.92,8.0,8.5,10.0,10.0,10.0,0.118,0,0,Green,2,2025-11-23,1800.0,Arabica,8.083333333333334
Taiwan,1,6,2025,2025-09-12,Washed/Wet,8.0,8.25,7.92,8.08,8.0,8.0,10.0,10.0,10.0,0.112,0,0,Green,0,2026-09-12,650.0,Arabica,8.041666666666666
Vietnam,100,1,2025,2025-07-09,Honey,8.08,8.25,8.0,8.08,8.08,8.08,10.0,10.0,10.0,0.11,0,0,Green,0,2026-07-09,1500.0,Arabica,8.094999999999999
Vietnam,300,1,2025,2025-07-09,Honey,8.17,7.92,8.08,8.17,8.08,7.83,10.0,10.0,10.0,0.11,0,0,Green,0,2026-07-09,1600.0,Arabica,8.041666666666666
Colombia,200,70,2025,2025-04-30,Washed/Wet,8.0,7.83,8.0,8.0,8.08,8.33,10.0,10.0,10.0,0.105,4,1,Green,6,2026-04-30,1700.0,Arabica,8.04
Taiwan,1,8,2024,2024-10-29,Natural/Dry,8.08,8.08,8.0,8.0,8.0,8.08,10.0,10.0,10.0,0.1,0,0,Green,0,2025-10-29,1500.0,Arabica,8.04
Taiwan,1,8,2024,2024-10-29,Natural/Dry,8.25,8.17,8.08,8.0,7.83,7.92,10.0,10.0,10.0,0.102,0,0,Brown,1,2025-10-29,1050.0,Arabica,8.041666666666666
Thailand,1,10,2024,2024-10-29,Honey,8.17,8.17,8.0,8.0,7.67,8.08,10.0,10.0,10.0,0.104,0,2,Green,0,2025-10-29,1200.0,Arabica,8.015
Vietnam,200,1,2025,2025-07-09,Natural/Dry,8.0,8.17,8.0,8.08,7.83,8.08,10.0,10.0,10.0,0.11,0,0,Green,0,2026-07-09,1550.0,Arabica,8.026666666666666
Thailand,1,8,2025,2025-08-26,Natural/Dry,8.0,8.17,7.92,8.17,8.17,8.0,10.0,10.0,10.0,0.117,0,0,Blue-Green,0,2026-08-26,1300.0,Arabica,8.071666666666667
Vietnam,2500,1,2025,2025-07-09,Natural/Dry,8.17,8.08,7.92,8.0,8.0,7.92,10.0,10.0,10.0,0.11,0,0,Green,0,2026-07-09,1200.0,Arabica,8.015
Indonesia,1,60,2025,2025-10-13,,8.25,8.0,8.08,8.0,7.83,8.0,10.0,10.0,10.0,0.117,0,0,Yellow,0,2026-10-13,1400.0,Arabica,8.026666666666666
Taiwan,1,6,2025,2025-09-12,Honey,7.83,8.08,8.0,8.17,7.92,8.0,10.0,10.0,10.0,0.105,0,0,Green,3,2026-09-12,300.0,Arabica,8.0
Taiwan,1,2,2025,2025-09-18,Honey,8.17,8.08,8.0,8.0,7.92,7.92,10.0,10.0,10.0,0.101,0,0,Green,0,2026-09-18,1250.0,Arabica,8.015
Guatemala,9,30,2025,2025-09-26,Natural/Dry,8.0,8.0,7.92,7.92,8.0,8.08,10.0,10.0,10.0,0.109,0,0,Green,0,2026-09-26,1550.0,Arabica,7.986666666666667
Ethiopia,317,60,2024,2024-11-27,Washed/Wet,8.17,8.08,7.92,7.92,8.0,8.0,10.0,10.0,10.0,0.101,0,0,Blue-Green,3,2025-11-27,1973.0,Arabica,8.015
Thailand,1,30,2025,2025-08-26,Washed/Wet,8.17,8.0,7.83,8.0,8.0,7.92,10.0,10.0,10.0,0.121,0,0,Green,0,2026-08-26,1430.0,Arabica,7.986666666666667
Taiwan,1,8,2024,2024-10-29,Washed/Wet,8.0,8.08,7.92,8.0,7.92,8.0,10.0,10.0,10.0,0.108,0,0,Green,1,2025-10-29,1000.0,Arabica,7.986666666666667
Colombia,3,35,2024,2024-11-20,Natural/Dry,7.92,8.17,7.67,8.0,8.08,8.0,10.0,10.0,10.0,0.103,0,0,Yellow,0,2025-11-20,1600.0,Arabica,7.973333333333333
Panama,3,35,2023,2024-11-20,Cherry,7.92,8.25,7.92,8.25,7.75,7.75,10.0,10.0,10.0,0.117,0,0,Yellow,0,2025-11-20,1500.0,Arabica,7.973333333333334
